leader_window,follower_window,threshold_pct,pnl,trades
38,15,1.4,9385.916963673724,33
38,13,1.4,9202.252534821117,33
38,14,1.4,8974.20292989082,33
30,15,1.4,8920.26462402376,37
30,16,1.4,8808.951876850948,37
38,16,1.4,8681.951519032616,33
34,15,1.4,8534.051812497342,35
34,16,1.4,8263.549459785165,35
32,15,1.4,8252.39598431783,33
38,15,1.6,8214.876236761022,26
30,13,1.4,8166.232029600687,37
36,16,1.4,8142.763403075765,35
36,15,1.4,8084.386221200602,35
30,14,1.4,8017.310950193223,37
34,15,1.6,7941.884487034975,28
34,14,1.6,7820.70698685235,28
38,16,1.6,7799.799330063761,26
34,14,1.4,7752.3200092542975,35
38,14,1.6,7736.02100663403,26
38,13,1.6,7732.202713390903,26
36,14,1.4,7648.033923895295,35
32,16,1.4,7638.8747314719185,33
30,15,1.6,7544.515229535056,31
34,13,1.4,7542.757206252409,35
36,13,1.4,7495.200812469524,35
30,13,1.6,7491.420257441914,31
32,15,1.6,7413.767612891541,29
36,15,1.6,7413.42563223065,26
36,16,1.6,7412.274507611259,26
30,14,1.6,7385.161352586925,31
36,14,1.6,7347.578851125938,26
34,16,1.6,7336.243435129672,28
30,16,1.6,7314.017975026229,31
36,13,1.6,7291.0336148499955,26
34,13,1.6,7253.782337683071,28
32,13,1.4,7216.935930434105,33
32,14,1.4,6985.294315045059,33
32,14,1.6,6647.078075098136,29
34,15,1.8,6644.82479326391,22
32,16,1.6,6637.699894498124,29
32,13,1.6,6486.063385078134,29
34,16,1.8,6476.736840515652,22
34,14,1.8,6464.158121159813,22
34,13,1.8,6273.638540396783,22
30,15,1.8,6210.398775420559,22
30,15,2.0,6170.967052765711,18
30,14,2.0,6106.28887476509,18
30,13,2.0,6059.56460733042,18
38,15,1.8,6011.6511522683795,20
30,16,2.0,6000.26649571595,18
30,16,1.8,5898.419234913828,22
32,15,1.8,5865.900182905025,22
36,15,1.8,5860.529936876475,22
30,14,1.8,5859.676319660637,22
36,14,1.8,5824.273042436154,22
32,15,2.0,5803.320999305655,18
38,14,1.8,5775.488332253026,20
34,16,2.0,5767.281834937159,20
36,16,1.8,5746.186237931077,22
38,16,1.8,5730.783188436748,20
30,13,1.8,5704.932233198415,22
34,14,2.0,5684.777370423293,20
32,14,2.0,5639.627047485228,18
36,14,2.2,5633.249728422426,16
36,15,2.2,5613.8888869634175,16
36,13,1.8,5612.223420687074,22
38,13,1.8,5592.7362869705175,20
38,16,2.0,5587.95457908585,20
34,15,2.0,5566.939646812149,20
32,16,2.0,5536.225226555813,18
32,13,2.0,5508.561137554436,18
36,13,2.2,5441.591747103255,16
36,16,2.2,5425.717243335512,16
34,13,2.0,5409.359313149391,20
38,14,2.0,5381.460728861603,20
32,16,1.8,5372.794790289307,22
36,16,2.0,5306.37272219417,20
38,13,2.2,5278.534173170963,16
32,14,1.8,5238.347599903536,22
38,16,2.2,5228.3291566815715,16
36,14,2.0,5227.695989145726,20
38,15,2.0,5216.379896764371,20
38,14,2.2,5204.6586879797505,16
36,15,2.0,5194.491099366405,20
30,16,2.4,5123.838216874439,14
38,13,2.0,5102.906403127265,20
30,15,2.4,5046.643408207066,14
32,13,1.8,5036.107929776972,22
38,15,2.2,4992.758263123782,16
30,13,2.4,4866.26320219662,14
30,16,2.2,4711.90695783417,14
30,14,2.4,4672.07749765574,14
36,13,2.0,4647.366455381572,20
32,16,2.2,4615.871590949704,14
30,14,2.2,4482.318490811962,14
32,14,2.2,4343.337179053746,14
30,15,2.2,4330.395169317828,14
32,15,2.2,4322.495367245603,14
36,13,2.4,4294.924860593641,14
30,13,2.2,4254.467151143042,14
38,13,2.4,4204.466748619132,12
36,16,2.4,4104.83301246522,14
36,14,2.4,4090.3251843737708,14
38,16,2.4,4022.33767473228,12
36,15,2.4,4002.6496150658604,14
38,14,2.4,3998.17094733283,12
32,13,2.2,3896.7322867447874,14
38,15,2.4,3828.4270745490066,12
34,16,2.2,3776.1248846689996,16
34,14,2.2,3687.2191999140705,16
34,13,2.2,3683.670233072029,16
32,15,2.4,3560.4136395492533,14
32,16,2.4,3355.5988367793834,14
34,15,2.2,3346.666542161096,16
32,14,2.4,3346.0542131221737,14
32,13,2.4,3033.8748149159655,14
34,13,2.4,2577.941073035672,14
34,16,2.4,2562.9147051894033,14
34,15,2.4,2524.4289690123805,14
34,14,2.4,2272.101826142014,14
