RollingAvgWindow,PositiveDiffMAThreshold,NegativeDiffMAThreshold,FixedOrderQuantity,PnL
1,34.40000,-30.40000,100,1756479.59431
1,34.00000,-30.40000,100,1755611.86961
1,33.80000,-30.40000,100,1754832.19795
1,32.00000,-30.20000,100,1754585.51053
1,31.80000,-30.20000,100,1754495.53002
1,34.20000,-30.40000,100,1754442.32613
1,32.00000,-30.40000,100,1754411.78163
1,31.80000,-30.40000,100,1754321.80112
1,32.20000,-30.20000,100,1754026.11509
1,32.20000,-30.40000,100,1753852.38619
1,34.60000,-30.40000,100,1753713.51185
1,34.40000,-30.20000,100,1753538.49021
1,30.80000,-30.40000,100,1753373.87088
1,32.40000,-30.20000,100,1753373.49071
1,32.40000,-30.40000,100,1753199.76181
1,30.80000,-30.20000,100,1753117.48036
1,31.00000,-30.40000,100,1752842.65600
1,34.00000,-30.20000,100,1752670.76550
1,31.00000,-30.20000,100,1752586.26548
1,31.20000,-30.40000,100,1752245.60944
1,32.60000,-30.20000,100,1752234.25292
1,32.60000,-30.40000,100,1752060.52402
1,31.20000,-30.20000,100,1751989.21892
1,33.80000,-30.20000,100,1751891.09385
1,30.60000,-30.40000,100,1751756.43695
1,34.20000,-30.20000,100,1751501.22202
1,30.60000,-30.20000,100,1751500.04644
1,30.20000,-30.40000,100,1751434.20694
1,30.20000,-30.20000,100,1751177.81642
1,31.60000,-30.20000,100,1751116.99436
1,30.40000,-30.40000,100,1750992.48278
1,31.60000,-30.40000,100,1750943.26546
1,31.40000,-30.20000,100,1750850.24176
1,33.60000,-30.40000,100,1750793.68092
1,34.60000,-30.20000,100,1750772.40775
1,30.40000,-30.20000,100,1750736.09227
1,31.40000,-30.40000,100,1750676.51286
1,34.80000,-30.40000,100,1750410.18924
1,30.00000,-30.40000,100,1749951.19853
1,30.00000,-30.20000,100,1749694.80801
1,32.00000,-30.00000,100,1749428.98793
1,34.40000,-30.80000,100,1749373.42628
1,29.60000,-30.40000,100,1749355.21258
1,31.80000,-30.00000,100,1749339.00742
1,29.80000,-30.40000,100,1749321.25422
1,29.60000,-30.20000,100,1749098.82206
1,29.80000,-30.20000,100,1749064.86370
1,32.80000,-30.20000,100,1748982.20524
