Timestamp,Signal_Type,Price,Quantity,Diff_MA_At_Signal
30,BUY,1260.56,100,-30.6564
31,BUY,1250.69,100,-48.452
32,BUY,1246.59,100,-47.7588
33,BUY,1260.89,100,-34.221
34,BUY,1263.22,100,-33.3344
35,BUY,1258.29,100,-38.5393
95,SELL,1283.42,-100,40.2923
96,SELL,1280.27,-100,41.4981
97,SELL,1284.51,-100,47.6735
98,SELL,1279.76,-100,44.0324
99,SELL,1280.46,-100,52.4811
100,SELL,1276.21,-100,44.5706
101,SELL,1277.85,-100,45.681
102,SELL,1274.04,-100,44.0662
103,SELL,1274.43,-100,42.9761
104,SELL,1283.33,-100,54.0987
105,SELL,1282.39,-100,52.6179
106,SELL,1279.68,-100,51.5826
110,SELL,1268.15,-100,39.2775
149,BUY,1235.68,100,-31.0358
150,BUY,1235.05,100,-33.9754
151,BUY,1219.53,100,-56.1059
152,BUY,1224.1,100,-52.7555
153,BUY,1229.3,100,-45.2599
154,BUY,1228.72,100,-54.0004
155,BUY,1233.92,100,-51.8024
156,BUY,1232.58,100,-56.0383
157,BUY,1247.18,100,-37.9308
158,BUY,1249.38,100,-34.8468
159,BUY,1244.84,100,-40.1175
160,BUY,1250.72,100,-39.2002
161,BUY,1250.14,100,-36.6782
163,BUY,1257.59,100,-32.6202
169,BUY,1262.3,100,-43.7018
170,BUY,1260.8,100,-49.6928
171,BUY,1260.03,100,-47.5535
172,BUY,1258.64,100,-48.736
173,BUY,1258.5,100,-54.9504
174,BUY,1249.88,100,-67.9667
175,BUY,1255.76,100,-60.4836
176,BUY,1263.53,100,-53.4593
177,BUY,1259.58,100,-59.7878
178,BUY,1259.46,100,-60.4986
179,BUY,1270.2,100,-50.1811
180,BUY,1273.72,100,-47.6716
181,BUY,1276.52,100,-46.6093
182,BUY,1267.92,100,-56.9149
183,BUY,1267.88,100,-61.0297
184,BUY,1271.67,100,-51.9153
185,BUY,1271.96,100,-56.8951
186,BUY,1275.07,100,-55.3879
187,BUY,1268.44,100,-61.0568
188,BUY,1275.21,100,-53.682
189,BUY,1267.37,100,-62.8289
190,BUY,1275.18,100,-63.5071
191,BUY,1269.09,100,-67.8919
192,BUY,1268.88,100,-63.9308
193,BUY,1278.08,100,-56.2479
194,BUY,1285.08,100,-56.779
195,BUY,1283.43,100,-63.8091
196,BUY,1279.64,100,-65.2373
197,BUY,1287.28,100,-57.3892
198,BUY,1285.37,100,-56.7146
199,BUY,1286.45,100,-56.8051
200,BUY,1286.17,100,-54.9482
201,BUY,1284.37,100,-57.7859
202,BUY,1286.43,100,-56.9601
203,BUY,1283.32,100,-59.22
204,BUY,1292.47,100,-54.233
205,BUY,1292.25,100,-53.5017
206,BUY,1302.08,100,-41.0385
207,BUY,1304.97,100,-35.0219
208,BUY,1307.33,100,-34.8293
240,BUY,1317.91,100,-33.8545
268,SELL,1348.14,-100,35.2908
269,SELL,1351.65,-100,38.2233
270,SELL,1354.52,-100,43.6373
279,SELL,1334.7,-100,41.6972
280,SELL,1342.07,-100,43.2899
289,SELL,1338.82,-100,34.4546
309,BUY,1284.53,100,-35.5733
311,BUY,1297.61,100,-38.4963
312,BUY,1300.23,100,-33.2582
313,BUY,1307.69,100,-31.2072
314,BUY,1298.99,100,-36.8801
315,BUY,1300.66,100,-31.7524
316,BUY,1296.91,100,-33.721
317,BUY,1302.44,100,-31.7197
318,BUY,1299.28,100,-48.5528
319,BUY,1305.18,100,-41.7974
320,BUY,1300.61,100,-50.4795
321,BUY,1301.69,100,-48.9533
322,BUY,1294.37,100,-48.3333
323,BUY,1294.15,100,-49.0158
324,BUY,1293.01,100,-48.2607
325,BUY,1285.72,100,-58.5736
326,BUY,1298.63,100,-48.3029
327,BUY,1301.43,100,-46.3709
328,BUY,1296.26,100,-54.6186
329,BUY,1297.64,100,-56.3584
330,BUY,1296.99,100,-63.1141
331,BUY,1297.36,100,-64.5911
332,BUY,1290.02,100,-79.1921
333,BUY,1301.97,100,-65.245
334,BUY,1298.16,100,-71.0535
335,BUY,1309.26,100,-64.1935
336,BUY,1314.2,100,-61.4036
337,BUY,1321.41,100,-54.9314
338,BUY,1318.47,100,-55.2426
339,BUY,1314.27,100,-59.7509
340,BUY,1315.4,100,-59.7863
341,BUY,1335.41,100,-38.0904
342,BUY,1329.83,100,-39.1369
345,BUY,1332.85,100,-33.6809
376,BUY,1361.36,100,-31.3293
378,BUY,1356.8,100,-35.943
379,BUY,1356.01,100,-37.3191
391,BUY,1339.89,100,-37.9115
392,BUY,1339.01,100,-32.8308
393,BUY,1344.78,100,-34.3576
394,BUY,1344.93,100,-34.5715
463,SELL,1374.86,-100,42.6765
464,SELL,1377.1,-100,54.1702
465,SELL,1381.21,-100,58.501
466,SELL,1375.49,-100,53.7722
467,SELL,1373.71,-100,41.7457
468,SELL,1382.47,-100,50.8172
469,SELL,1376.27,-100,45.9455
470,SELL,1376,-100,45.6011
471,SELL,1371.37,-100,46.8578
472,SELL,1367.84,-100,44.6535
473,SELL,1361.29,-100,49.4702
474,SELL,1349.99,-100,39.6952
475,SELL,1353.9,-100,46.5299
476,SELL,1354.23,-100,47.0679
477,SELL,1362.07,-100,50.6811
478,SELL,1365.76,-100,57.5141
479,SELL,1356.81,-100,43.2724
480,SELL,1353.01,-100,34.9213
481,SELL,1353.1,-100,36.5677
482,SELL,1356.39,-100,37.1704
484,SELL,1355.66,-100,45.5237
485,SELL,1363.93,-100,53.5023
486,SELL,1361.01,-100,47.7673
487,SELL,1352.77,-100,40.4916
492,SELL,1346.04,-100,39.2409
493,SELL,1340.55,-100,35.8812
520,SELL,1312.37,-100,35.1879
545,BUY,1278.16,100,-35.0561
546,BUY,1272.62,100,-36.4714
550,BUY,1267.41,100,-35.6262
551,BUY,1267.44,100,-38.9582
552,BUY,1271.8,100,-40.038
553,BUY,1260.33,100,-53.1734
554,BUY,1270.19,100,-34.8486
555,BUY,1270.42,100,-36.4546
556,BUY,1278.56,100,-33.3217
559,BUY,1288.4,100,-40.739
560,BUY,1290.06,100,-35.2286
561,BUY,1293.36,100,-33.3846
562,BUY,1293.14,100,-39.4462
571,BUY,1304.48,100,-30.6078
572,BUY,1299.06,100,-35.0007
577,BUY,1305.92,100,-33.5275
578,BUY,1286.19,100,-54.5906
579,BUY,1280.62,100,-53.1498
580,BUY,1293.53,100,-40.4431
581,BUY,1297.02,100,-37.8878
582,BUY,1305.42,100,-36.4604
650,BUY,1328.6,100,-37.8409
651,BUY,1322.36,100,-40.3513
652,BUY,1323.32,100,-31.258
653,BUY,1319.85,100,-37.9395
654,BUY,1305,100,-57.8646
655,BUY,1307.79,100,-63.1492
656,BUY,1314.87,100,-61.7038
657,BUY,1316.7,100,-58.374
658,BUY,1324.74,100,-40.3315
659,BUY,1324.68,100,-50.1997
660,BUY,1331.58,100,-45.6075
661,BUY,1329.14,100,-50.3708
662,BUY,1334.7,100,-44.6444
663,BUY,1334.75,100,-45.487
664,BUY,1346.06,100,-34.3051
665,BUY,1336.35,100,-35.6123
667,BUY,1343.67,100,-30.489
669,BUY,1332.45,100,-33.9998
670,BUY,1334.17,100,-34.789
671,BUY,1333.1,100,-36.6343
672,BUY,1338.75,100,-32.9116
673,BUY,1336.88,100,-42.5514
674,BUY,1344.1,100,-34.4292
675,BUY,1341.26,100,-40.5618
676,BUY,1343.97,100,-36.8769
677,BUY,1333.44,100,-38.6784
679,BUY,1340.23,100,-31.5165
708,BUY,1345.09,100,-32.7473
709,BUY,1350.65,100,-31.2956
710,BUY,1345.75,100,-41.4289
711,BUY,1346.78,100,-47.2515
712,BUY,1352.46,100,-39.755
713,BUY,1356.37,100,-40.1905
714,BUY,1352.5,100,-54.4856
715,BUY,1349.4,100,-60.1403
716,BUY,1347.56,100,-64.6758
717,BUY,1351.5,100,-55.8885
718,BUY,1356.11,100,-56.8494
719,BUY,1345.41,100,-75.4462
720,BUY,1355.45,100,-68.0887
721,BUY,1352.26,100,-79.7589
722,BUY,1352.07,100,-86.4198
723,BUY,1365.76,100,-73.9277
724,BUY,1373.7,100,-73.8132
725,BUY,1373.44,100,-81.8292
726,BUY,1369.96,100,-81.2342
727,BUY,1362.68,100,-82.3467
728,BUY,1372.96,100,-73.1031
729,BUY,1380.91,100,-70.0738
730,BUY,1385.91,100,-66.9069
731,BUY,1382.24,100,-72.7811
732,BUY,1388.86,100,-61.5478
733,BUY,1375.27,100,-74.6916
734,BUY,1371.95,100,-77.7795
735,BUY,1377.16,100,-77.8132
736,BUY,1378.98,100,-72.6979
737,BUY,1381.2,100,-68.532
738,BUY,1378.73,100,-67.6799
739,BUY,1380.47,100,-67.8567
740,BUY,1385.67,100,-56.056
